dataset,classifier,metric,mean,std
JapaneseVowels,DW-NB(w1-only),weighted_f1,0.940613148779352,0.005038446501210879
JapaneseVowels,DW-NB(w2-only),accuracy,0.9365517234434227,0.00572384513622626
JapaneseVowels,DW-NB(w2-only),auc_roc,0.9973312468848288,0.00026608896300558065
JapaneseVowels,DW-NB(w2-only),balanced_accuracy,0.932050096118784,0.006375776083593517
JapaneseVowels,DW-NB(w2-only),brier_score,0.09441548746651789,0.004804220438701477
JapaneseVowels,DW-NB(w2-only),ece,0.01688718884007111,0.0032478630217599594
JapaneseVowels,DW-NB(w2-only),geometric_mean,0.9305512412122019,0.006656984600512037
JapaneseVowels,DW-NB(w2-only),log_loss,0.17049947241191873,0.009655194551964813
JapaneseVowels,DW-NB(w2-only),macro_f1,0.9329287084403791,0.006070886699270101
JapaneseVowels,DW-NB(w2-only),mcc,0.9282110327509818,0.006484846983534564
JapaneseVowels,DW-NB(w2-only),nb_knn_agreement_rate,0.8660773485113976,0.007670504307573751
JapaneseVowels,DW-NB(w2-only),predict_time_per_sample_ms,0.12846825426097275,0.031037517835295493
JapaneseVowels,DW-NB(w2-only),selected_lambda,0.5,0.0
JapaneseVowels,DW-NB(w2-only),weighted_f1,0.9362925197234837,0.005763594270721763
JapaneseVowels,DW-NB(w3-only),accuracy,0.9541205947158746,0.003642979614794812
JapaneseVowels,DW-NB(w3-only),auc_roc,0.9985348827525113,0.0001509150265692731
JapaneseVowels,DW-NB(w3-only),balanced_accuracy,0.9508295093816421,0.0038323295565191673
JapaneseVowels,DW-NB(w3-only),brier_score,0.06896814413096898,0.004242713545495143
JapaneseVowels,DW-NB(w3-only),ece,0.01613252429213146,0.0029959624153808647
JapaneseVowels,DW-NB(w3-only),geometric_mean,0.9498128386601771,0.004029993918830236
JapaneseVowels,DW-NB(w3-only),log_loss,0.12572236636006204,0.008223047463115574
JapaneseVowels,DW-NB(w3-only),macro_f1,0.9513623784116533,0.0038744139324279813
JapaneseVowels,DW-NB(w3-only),mcc,0.9481198537601647,0.004105026304561265
JapaneseVowels,DW-NB(w3-only),nb_knn_agreement_rate,0.8614588746158154,0.009153763490034057
JapaneseVowels,DW-NB(w3-only),predict_time_per_sample_ms,0.12828205575548185,0.029292399742509932
JapaneseVowels,DW-NB(w3-only),selected_lambda,0.5,0.0
JapaneseVowels,DW-NB(w3-only),weighted_f1,0.9539345212575115,0.003643206790916831
JapaneseVowels,GaussianNB,accuracy,0.857744115881782,0.010374440623366513
JapaneseVowels,GaussianNB,auc_roc,0.9839497963446995,0.0013349285528984076
JapaneseVowels,GaussianNB,balanced_accuracy,0.8492116151247531,0.01159990144872577
JapaneseVowels,GaussianNB,brier_score,0.20937051640176424,0.011257556667292154
JapaneseVowels,GaussianNB,ece,0.02841693600041263,0.0057587145256591315
JapaneseVowels,GaussianNB,geometric_mean,0.8433226456140034,0.013094715877924653
JapaneseVowels,GaussianNB,log_loss,0.44308732716253835,0.022250434722863692
JapaneseVowels,GaussianNB,macro_f1,0.8501532959443386,0.011406342732373748
JapaneseVowels,GaussianNB,mcc,0.8393234276951542,0.011748172414899064
JapaneseVowels,GaussianNB,nb_knn_agreement_rate,,
JapaneseVowels,GaussianNB,predict_time_per_sample_ms,0.03547861087257223,0.025181000328451695
JapaneseVowels,GaussianNB,selected_lambda,,
JapaneseVowels,GaussianNB,weighted_f1,0.8575956614740295,0.01058449538367692
JapaneseVowels,MultinomialNB,accuracy,0.36502388692180954,0.007304755231470801
JapaneseVowels,MultinomialNB,auc_roc,0.9344454018524762,0.002774123290409087
JapaneseVowels,MultinomialNB,balanced_accuracy,0.2867197717788442,0.006896761956370353
JapaneseVowels,MultinomialNB,brier_score,0.8232106657740367,0.0009636138923998695
JapaneseVowels,MultinomialNB,ece,0.19316641303479173,0.007373530324709752
JapaneseVowels,MultinomialNB,geometric_mean,0.0,0.0
JapaneseVowels,MultinomialNB,log_loss,1.9422231542787718,0.0025209892309252637
JapaneseVowels,MultinomialNB,macro_f1,0.2172373584823223,0.007050082578434548
JapaneseVowels,MultinomialNB,mcc,0.3039625004066563,0.009845300735151835
JapaneseVowels,MultinomialNB,nb_knn_agreement_rate,,
JapaneseVowels,MultinomialNB,predict_time_per_sample_ms,0.012666331081531378,0.008375383782725584
JapaneseVowels,MultinomialNB,selected_lambda,,
JapaneseVowels,MultinomialNB,weighted_f1,0.2534928212209127,0.007393629064751046
JapaneseVowels,NB+kNN-Ensemble,accuracy,0.9378568436232392,0.005246547377015455
JapaneseVowels,NB+kNN-Ensemble,auc_roc,0.997639050847875,0.0002879982605260373
JapaneseVowels,NB+kNN-Ensemble,balanced_accuracy,0.9334394500753402,0.0061486537288404875
JapaneseVowels,NB+kNN-Ensemble,brier_score,0.10321918791178313,0.004810471243578719
JapaneseVowels,NB+kNN-Ensemble,ece,0.06415814713130077,0.003996011866366621
JapaneseVowels,NB+kNN-Ensemble,geometric_mean,0.9319627754001191,0.006566549961190449
JapaneseVowels,NB+kNN-Ensemble,log_loss,0.20045015102214253,0.007711182022987551
JapaneseVowels,NB+kNN-Ensemble,macro_f1,0.9340228569414878,0.005625051695293291
JapaneseVowels,NB+kNN-Ensemble,mcc,0.9297097055377892,0.005922715541832347
JapaneseVowels,NB+kNN-Ensemble,nb_knn_agreement_rate,,
JapaneseVowels,NB+kNN-Ensemble,predict_time_per_sample_ms,0.13618865301677183,0.0283136035625627
JapaneseVowels,NB+kNN-Ensemble,selected_lambda,,
JapaneseVowels,NB+kNN-Ensemble,weighted_f1,0.9376610596783828,0.005328151939204162
LED-display-domain-7digit,BernoulliNB,accuracy,0.726,0.05420127099780755
LED-display-domain-7digit,BernoulliNB,auc_roc,0.9570885183939299,0.019439168001274196
LED-display-domain-7digit,BernoulliNB,balanced_accuracy,0.7301666666666666,0.05734587502790457
LED-display-domain-7digit,BernoulliNB,brier_score,0.37474716137591874,0.08280278898033064
LED-display-domain-7digit,BernoulliNB,ece,0.14033893208543524,0.035350901166868294
LED-display-domain-7digit,BernoulliNB,geometric_mean,0.7002148614548083,0.06450295741071695
LED-display-domain-7digit,BernoulliNB,log_loss,0.7991703311788543,0.20489224834375472
LED-display-domain-7digit,BernoulliNB,macro_f1,0.7223018925518925,0.0598156179538574
LED-display-domain-7digit,BernoulliNB,mcc,0.6992067352181216,0.060347844196193795
LED-display-domain-7digit,BernoulliNB,nb_knn_agreement_rate,,
LED-display-domain-7digit,BernoulliNB,predict_time_per_sample_ms,0.0112690000023576,0.0008069003841243003
LED-display-domain-7digit,BernoulliNB,selected_lambda,,
LED-display-domain-7digit,BernoulliNB,weighted_f1,0.7222771062271062,0.05702700848433718
LED-display-domain-7digit,ComplementNB,accuracy,0.602,0.049396356140913894
LED-display-domain-7digit,ComplementNB,auc_roc,0.9234027340939459,0.021103451944218046
LED-display-domain-7digit,ComplementNB,balanced_accuracy,0.5821666666666666,0.04942290417195377
LED-display-domain-7digit,ComplementNB,brier_score,0.8749462634382908,0.0011040624016051645
LED-display-domain-7digit,ComplementNB,ece,0.486962153505322,0.04937526678473645
LED-display-domain-7digit,ComplementNB,geometric_mean,0.0,0.0
LED-display-domain-7digit,ComplementNB,log_loss,2.1839788704178056,0.005236922644421186
LED-display-domain-7digit,ComplementNB,macro_f1,0.5040979524431537,0.04554517936047151
LED-display-domain-7digit,ComplementNB,mcc,0.5726212918934744,0.0566146283569446
LED-display-domain-7digit,ComplementNB,nb_knn_agreement_rate,,
LED-display-domain-7digit,ComplementNB,predict_time_per_sample_ms,0.00846860000092416,0.008173506631514962
LED-display-domain-7digit,ComplementNB,selected_lambda,,
LED-display-domain-7digit,ComplementNB,weighted_f1,0.5204821867846635,0.048062146495379696
LED-display-domain-7digit,"DW-NB(k=15,CV-λ)",accuracy,0.712,0.07130529043797837
LED-display-domain-7digit,"DW-NB(k=15,CV-λ)",auc_roc,0.9355671035049851,0.03191484450938302
LED-display-domain-7digit,"DW-NB(k=15,CV-λ)",balanced_accuracy,0.712,0.08314719953265688
LED-display-domain-7digit,"DW-NB(k=15,CV-λ)",brier_score,0.4134301539363926,0.08479880770780664
LED-display-domain-7digit,"DW-NB(k=15,CV-λ)",ece,0.14733434234533163,0.033357512652083206
LED-display-domain-7digit,"DW-NB(k=15,CV-λ)",geometric_mean,0.6199824699842815,0.23199592820977044
LED-display-domain-7digit,"DW-NB(k=15,CV-λ)",log_loss,1.957656282037361,1.0191127471674413
LED-display-domain-7digit,"DW-NB(k=15,CV-λ)",macro_f1,0.700390193140193,0.08351732054125455
LED-display-domain-7digit,"DW-NB(k=15,CV-λ)",mcc,0.6835535738582547,0.0800478510024109
LED-display-domain-7digit,"DW-NB(k=15,CV-λ)",nb_knn_agreement_rate,0.836,0.13326664999166146
LED-display-domain-7digit,"DW-NB(k=15,CV-λ)",predict_time_per_sample_ms,0.10234719999061777,0.16177248643047196
LED-display-domain-7digit,"DW-NB(k=15,CV-λ)",selected_lambda,0.99,0.03162277660168379
LED-display-domain-7digit,"DW-NB(k=15,CV-λ)",weighted_f1,0.7038176212676213,0.07432242390237999
LED-display-domain-7digit,"DW-NB(k=15,λ=0.5)",accuracy,0.686,0.08167687011088949
LED-display-domain-7digit,"DW-NB(k=15,λ=0.5)",auc_roc,0.9325980716041077,0.04385472289222937
LED-display-domain-7digit,"DW-NB(k=15,λ=0.5)",balanced_accuracy,0.6896666666666667,0.08783331576357968
LED-display-domain-7digit,"DW-NB(k=15,λ=0.5)",brier_score,0.48145118075359583,0.15255523791631614
LED-display-domain-7digit,"DW-NB(k=15,λ=0.5)",ece,0.21244464209767217,0.08692969644277418
LED-display-domain-7digit,"DW-NB(k=15,λ=0.5)",geometric_mean,0.5501218345383144,0.29850318653121655
LED-display-domain-7digit,"DW-NB(k=15,λ=0.5)",log_loss,2.391310281206086,1.672462884611221
LED-display-domain-7digit,"DW-NB(k=15,λ=0.5)",macro_f1,0.6780411255411256,0.09157824885537943
LED-display-domain-7digit,"DW-NB(k=15,λ=0.5)",mcc,0.6561877175427691,0.08832728347830626
LED-display-domain-7digit,"DW-NB(k=15,λ=0.5)",nb_knn_agreement_rate,0.836,0.13326664999166146
LED-display-domain-7digit,"DW-NB(k=15,λ=0.5)",predict_time_per_sample_ms,0.32582360000014887,0.08701990380606762
LED-display-domain-7digit,"DW-NB(k=15,λ=0.5)",selected_lambda,0.5,0.0
LED-display-domain-7digit,"DW-NB(k=15,λ=0.5)",weighted_f1,0.677739183039183,0.0875495094266527
LED-display-domain-7digit,"DW-NB(k=30,λ=0.5)",accuracy,0.6779999999999999,0.09953223933312594
LED-display-domain-7digit,"DW-NB(k=30,λ=0.5)",auc_roc,0.931067729328437,0.04407276148322465
LED-display-domain-7digit,"DW-NB(k=30,λ=0.5)",balanced_accuracy,0.683,0.10271559680574562
LED-display-domain-7digit,"DW-NB(k=30,λ=0.5)",brier_score,0.4892553099752391,0.16829966203911093
LED-display-domain-7digit,"DW-NB(k=30,λ=0.5)",ece,0.22023223659840396,0.09814771793553796
LED-display-domain-7digit,"DW-NB(k=30,λ=0.5)",geometric_mean,0.49169061356636606,0.3455795469051337
