dataset,classifier,fold,metric,value,fit_time,predict_time
iris,GaussianNB,10,selected_lambda,,0.0258429000000433,0.0004718000000139
iris,GaussianNB,10,nb_knn_agreement_rate,,0.0258429000000433,0.0004718000000139
iris,GaussianNB,10,predict_time_per_sample_ms,0.03145333333426,0.0258429000000433,0.0004718000000139
iris,MultinomialNB,1,accuracy,0.7333333333333333,0.44738890000007814,0.0011717000002136047
iris,MultinomialNB,1,macro_f1,0.7333333333333334,0.44738890000007814,0.0011717000002136047
iris,MultinomialNB,1,auc_roc,0.8333333333333334,0.44738890000007814,0.0011717000002136047
iris,MultinomialNB,1,log_loss,0.794747138689799,0.44738890000007814,0.0011717000002136047
iris,MultinomialNB,1,brier_score,0.4810785972998282,0.44738890000007814,0.0011717000002136047
iris,MultinomialNB,1,ece,0.2784723215776666,0.44738890000007814,0.0011717000002136047
iris,MultinomialNB,1,balanced_accuracy,0.7333333333333334,0.44738890000007814,0.0011717000002136047
iris,MultinomialNB,1,geometric_mean,0.7952135486850339,0.44738890000007814,0.0011717000002136047
iris,MultinomialNB,1,mcc,0.6,0.44738890000007814,0.0011717000002136047
iris,MultinomialNB,1,weighted_f1,0.7333333333333333,0.44738890000007814,0.0011717000002136047
iris,MultinomialNB,1,selected_lambda,,0.44738890000007814,0.0011717000002136047
iris,MultinomialNB,1,nb_knn_agreement_rate,,0.44738890000007814,0.0011717000002136047
iris,MultinomialNB,1,predict_time_per_sample_ms,0.07811333334757364,0.44738890000007814,0.0011717000002136047
iris,MultinomialNB,2,accuracy,0.8666666666666667,0.011164399999870511,0.00028040000006512855
iris,MultinomialNB,2,macro_f1,0.8666666666666667,0.011164399999870511,0.00028040000006512855
iris,MultinomialNB,2,auc_roc,0.8333333333333334,0.011164399999870511,0.00028040000006512855
iris,MultinomialNB,2,log_loss,0.8082944348273561,0.011164399999870511,0.00028040000006512855
iris,MultinomialNB,2,brier_score,0.4898090795091979,0.011164399999870511,0.00028040000006512855
iris,MultinomialNB,2,ece,0.41925987922062613,0.011164399999870511,0.00028040000006512855
